date,tank,community,adj_eth_area,dispersal,wattage,metacommunity,treatment_rep,temp_mean,temp_max,temp_sd,temp_min,degree_hrs,bluegreen,chl_a_fluoro,cryptophyta,diatoms,green_algae,yellow_substances,experiment,inc.start.time,inc.stop.time,light.start.lux,inc_meanT,inc_maxT,inc_minT,week,nitrate,phosphate,ammonium,total_n,n_to_p,mean_chla,sd_chla,NPP,R,GPP,net_troph,total_adj_eth_area,total_chla,mass_specific_NPP
2018-08-15,15,sed,5.86316667262,none,200,4,2,24.940625,28.18,2.1381840601722817,22.09,86194.79999999999,0.47,30.57,0.87,0,29.22,2,TRUE,11:55:00,14:02:00,1157,25.34846153846154,26.51,24.11,2,0,0,0.5361445073523033,0.5361445073523033,Inf,NA,NA,2.0600000000000005,-2.030000000000001,0.02999999999999936,autotrophic,36.213666690480004,33.515,0.061465015664627795
2018-08-15,14,h2o,1.15576667262,none,0,4,2,22.778541666666666,25.95,2.0707064328675076,19.99,78722.64,0.82,9.99,0,1.3,7.86,1.12,TRUE,11:26:00,13:29:00,1102,22.526666666666667,23.46,21.53,2,0,0,0.36179935429396365,0.36179935429396365,Inf,6.345000000000001,3.358757210636101,1.620000000000001,-1.6600000000000001,-0.03999999999999915,autotrophic,13.151200017859999,50.239999999999995,0.032245222929936326
2018-08-15,14,peri,2.90346667262,none,0,4,2,22.778541666666666,25.95,2.0707064328675076,19.99,78722.64,0.82,9.99,0,1.3,7.86,1.12,TRUE,11:26:00,13:29:00,1102,22.526666666666667,23.46,21.53,2,0,0,0.36179935429396365,0.36179935429396365,Inf,43.894999999999996,0.8555992052357231,1.620000000000001,-1.6600000000000001,-0.03999999999999915,autotrophic,13.151200017859999,50.239999999999995,0.032245222929936326
2018-08-15,35,peri,2.7433666726199997,none,300,9,3,26.258263888888887,29.38,2.0584770423960252,23.42,90748.56,1.54,53.07,0.63,0,50.9,1.52,TRUE,11:13:00,13:20:00,1068,26.096923076923076,27.32,24.71,2,0.5840447875370288,0,0,0.5840447875370288,Inf,5.67,0.08485281374238578,2.74,-2.370000000000001,0.3699999999999992,autotrophic,4.68213334524,28.450000000000003,0.09630931458699472
2018-08-15,14,sed,9.09196667262,none,0,4,2,22.778541666666666,25.95,2.0707064328675076,19.99,78722.64,0.82,9.99,0,1.3,7.86,1.12,TRUE,11:26:00,13:29:00,1102,22.526666666666667,23.46,21.53,2,0,0,0.36179935429396365,0.36179935429396365,Inf,NA,NA,1.620000000000001,-1.6600000000000001,-0.03999999999999915,autotrophic,13.151200017859999,50.239999999999995,0.032245222929936326
2018-08-15,36,peri,2.91306667262,none,200,9,3,25.18715277777778,28.14,1.9839561604092462,22.48,87046.79999999999,0.68,15.02,0.48,0,13.86,1.79,TRUE,11:09:00,13:18:00,1072,24.71,25.82,23.64,2,0,0.3814583639525777,0,0,0,28.055,0.9545941546018402,1.4900000000000002,-1.4699999999999989,0.02000000000000135,autotrophic,337.35880001786,34.04,0.04377203290246769
2018-08-15,5,h2o,1.1907666726200001,none,200,2,1,25.162777777777777,28.48,2.1868658943297006,22.18,86962.56,1.17,30.71,0.48,0,29.06,1.67,TRUE,12:15:00,14:20:00,1158,26.067857142857143,27.24,24.75,2,0,0,0,0,NaN,8.67,0.07071067811865576,1.5700000000000003,-1.79,-0.21999999999999975,autotrophic,2.2605333452400003,24.715000000000003,0.06352417560186122
2018-08-15,15,h2o,2.87816667262,none,200,4,2,24.940625,28.18,2.1381840601722817,22.09,86194.79999999999,0.47,30.57,0.87,0,29.22,2,TRUE,11:55:00,14:02:00,1157,25.34846153846154,26.51,24.11,2,0,0,0.5361445073523033,0.5361445073523033,Inf,12.274999999999999,3.995153313703994,2.0600000000000005,-2.030000000000001,0.02999999999999936,autotrophic,36.213666690480004,33.515,0.061465015664627795
2018-08-15,34,sed,31.45006667262,none,100,9,3,23.906041666666667,26.9,1.9527102265879028,21.32,82619.28,0.45,17.5,0.17,0,16.87,1.24,TRUE,10:50:00,13:04:00,910,22.91769230769231,23.94,21.83,2,0.9189782736254134,1.445552246887857,0,0.9189782736254134,0.6357281624402649,NA,NA,1.7899999999999991,-1.8499999999999996,-0.0600000000000005,autotrophic,48.76150001786,74.51500000000001,0.02402200899147821
2018-08-15,NA,sed,4.935166672619999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.935166672619999,0,NA
2018-08-15,13,h2o,2.9935666726199996,none,300,4,2,25.720277777777778,28.95,2.100281014978791,22.86,88889.28,0.97,31.47,0.09,0,30.41,1.78,TRUE,11:35:00,13:36:00,1081,25.699166666666667,26.85,24.54,2,0.2299779758290287,0,0,0.2299779758290287,Inf,8.335,0.04949747468305728,2.5199999999999996,-2.549999999999999,-0.02999999999999936,autotrophic,18.56400001786,88.66500000000002,0.028421586871933673
2018-08-15,36,h2o,1.92936667262,none,200,9,3,25.18715277777778,28.14,1.9839561604092462,22.48,87046.79999999999,0.68,15.02,0.48,0,13.86,1.79,TRUE,11:09:00,13:18:00,1072,24.71,25.82,23.64,2,0,0.3814583639525777,0,0,0,5.984999999999999,0.049497474683057895,1.4900000000000002,-1.4699999999999989,0.02000000000000135,autotrophic,337.35880001786,34.04,0.04377203290246769
2018-08-15,36,sed,332.51636667262,none,200,9,3,25.18715277777778,28.14,1.9839561604092462,22.48,87046.79999999999,0.68,15.02,0.48,0,13.86,1.79,TRUE,11:09:00,13:18:00,1072,24.71,25.82,23.64,2,0,0.3814583639525777,0,0,0,NA,NA,1.4900000000000002,-1.4699999999999989,0.02000000000000135,autotrophic,337.35880001786,34.04,0.04377203290246769
2018-08-15,33,h2o,3.44956667262,none,0,9,3,22.900555555555556,26.04,2.002972538478496,20.25,79144.31999999999,0,21.46,0,3.97,17.49,0.94,TRUE,10:52:00,13:05:00,892,22.18642857142857,23.29,21.1,2,0,1.416951747486558,0,0,0,11.969999999999999,1.0889444430272839,1.6099999999999994,-2.0999999999999996,-0.4900000000000002,autotrophic,30.97680001786,43.375,0.03711815561959653
2018-08-15,34,peri,14.44516667262,none,100,9,3,23.906041666666667,26.9,1.9527102265879028,21.32,82619.28,0.45,17.5,0.17,0,16.87,1.24,TRUE,10:50:00,13:04:00,910,22.91769230769231,23.94,21.83,2,0.9189782736254134,1.445552246887857,0,0.9189782736254134,0.6357281624402649,69.14500000000001,1.9728279195104719,1.7899999999999991,-1.8499999999999996,-0.0600000000000005,autotrophic,48.76150001786,74.51500000000001,0.02402200899147821
2018-08-15,34,h2o,2.8662666726199997,none,100,9,3,23.906041666666667,26.9,1.9527102265879028,21.32,82619.28,0.45,17.5,0.17,0,16.87,1.24,TRUE,10:50:00,13:04:00,910,22.91769230769231,23.94,21.83,2,0.9189782736254134,1.445552246887857,0,0.9189782736254134,0.6357281624402649,5.37,0.1131370849898477,1.7899999999999991,-1.8499999999999996,-0.0600000000000005,autotrophic,48.76150001786,74.51500000000001,0.02402200899147821
2018-08-15,33,sed,25.01706667262,none,0,9,3,22.900555555555556,26.04,2.002972538478496,20.25,79144.31999999999,0,21.46,0,3.97,17.49,0.94,TRUE,10:52:00,13:05:00,892,22.18642857142857,23.29,21.1,2,0,1.416951747486558,0,0,0,NA,NA,1.6099999999999994,-2.0999999999999996,-0.4900000000000002,autotrophic,30.97680001786,43.375,0.03711815561959653
2018-08-13,33,sed,24.508166672620003,none,0,9,3,21.26673611111111,24.15,1.7315750661163836,18.92,73497.84,0,19.68,0.94,0,18.74,1.1,TRUE,12:54:00,14:58:00,893,22.32846153846154,23.16,21.4,2,1.1234175941576285,0.3110996842181644,0.4780294563328566,1.6014470504904852,5.147697447894035,NA,NA,1.5,-1.08,0.41999999999999993,autotrophic,31.614200017860004,20.775,0.07220216606498195
2018-08-13,13,sed,11.466566672619999,none,300,4,2,23.742569444444445,26.21,1.504557991700054,21.58,82054.31999999999,1.39,40.15,0.08,0,38.68,1.53,TRUE,12:00:00,14:04:00,906,24.105833333333333,24.88,23.25,2,0.45028296598897666,0,0.7425651830193061,1.1928481490082827,Inf,NA,NA,2.3900000000000006,-2.0900000000000016,0.29999999999999893,autotrophic,29.02900001786,0,Inf
2018-08-13,36,sed,21.572366672620003,none,200,9,3,23.54548611111111,26.68,1.911805732977311,21.02,81373.20000000001,0.37,14.86,0.42,0,14.06,1.59,TRUE,12:56:00,15:00:00,949,24.928461538461537,25.78,23.89,2,0,0,0.49255821908771813,0.49255821908771813,Inf,NA,NA,1.42,-1.1899999999999995,0.23000000000000043,autotrophic,27.803100017860004,0,Inf
2018-08-13,14,h2o,5.8905666726199994,none,0,4,2,21.16673611111111,24.11,1.7852996574633115,18.7,73152.24,0.59,8.89,0.77,0,7.53,1.28,TRUE,11:45:00,13:56:00,881,21.313076923076924,22.18,20.33,2,6.838122115837228,0,2.1499795201537686,8.988101635990997,Inf,10.68,0.1131370849898477,1.3699999999999992,-1.25,0.11999999999999922,autotrophic,29.99520001786,76.98500000000001,0.017795674482041942
2018-08-13,16,sed,19.291966672620003,none,100,4,2,21.917569444444446,24.66,1.6954295808659272,19.6,75747.12,0,24.25,0.54,0,23.71,1.44,TRUE,12:11:00,14:16:00,971,22.365833333333335,23.16,21.49,2,0,0,1.7970943010873848,1.7970943010873848,Inf,NA,NA,1.2699999999999996,-1.0199999999999996,0.25,autotrophic,29.761100017860002,48.209999999999994,0.026343082348060563
2018-08-13,41,peri,3.49646667262,none,0,11,4,21.300625,24.02,1.6511937697873666,19.04,73614.95999999999,0.11,13.72,0.64,0,12.97,0.98,TRUE,14:18:00,16:25:00,997,23.31230769230769,23.72,22.65,2,0,0,0,0,NaN,10.11,0.19798989873223286,1.2100000000000009,-1.0200000000000014,0.1899999999999995,autotrophic,37.12450001786,15.69,0.07711918419375403
2018-08-13,14,sed,17.35796667262,none,0,4,2,21.16673611111111,24.11,1.7852996574633115,18.7,73152.24,0.59,8.89,0.77,0,7.53,1.28,TRUE,11:45:00,13:56:00,881,21.313076923076924,22.18,20.33,2,6.838122115837228,0,2.1499795201537686,8.988101635990997,Inf,NA,NA,1.3699999999999992,-1.25,0.11999999999999922,autotrophic,29.99520001786,76.98500000000001,0.017795674482041942
2018-08-13,41,sed,30.39636667262,none,0,11,4,21.300625,24.02,1.6511937697873666,19.04,73614.95999999999,0.11,13.72,0.64,0,12.97,0.98,TRUE,14:18:00,16:25:00,997,23.31230769230769,23.72,22.65,2,0,0,0,0,NaN,NA,NA,1.2100000000000009,-1.0200000000000014,0.1899999999999995,autotrophic,37.12450001786,15.69,0.07711918419375403
